workerid,global_comments,gender,age,race,region,regionComments,sentence,speaker,sgender,intonation,verification,ohyeschoice,spcertainty,adcertainty,authority,politeness,comment1,comment2
A3PDTUA1YLJTMC,no,gen=2,age=3,eth=3,PA,no,married,bon,f,rise1,Ellen is married ?,response=2,47,54,54,62,,
A1YPKT2UPUQ464,,gen=1,age=5,eth=3,MN/FL - half and half,,mom,ros,f,qrise,Is Eleanor Annie's mom?,response=2,11,89,54,89,,
A1YPKT2UPUQ464,,gen=1,age=5,eth=3,MN/FL - half and half,,married,bon,f,rise2,Ellen is married?,response=2,19,79,43,60,,
A1YPKT2UPUQ464,,gen=1,age=5,eth=3,MN/FL - half and half,,spaceship,kev,m,rise3,Maria was in a spaceship to the moon?,response=2,56,88,70,78,,
A1YPKT2UPUQ464,,gen=1,age=5,eth=3,MN/FL - half and half,,yemen,aar,m,rise1,Linny's from Yemen?,response=2,58,85,57,70,,
A1YPKT2UPUQ464,,gen=1,age=5,eth=3,MN/FL - half and half,,obama,aar,m,fall,Laura met President Obama.,response=1,92,10,76,71,,
A18WPTVQPM9LBH,,gen=1,age=5,eth=3,Illinois,,yemen,ros,f,rise1,monies from Yemen,response=1,76,41,37,85,I heard monies not Lenny,
A18WPTVQPM9LBH,,gen=1,age=5,eth=3,Illinois,,mom,kev,m,qrise,His owner and his mom,response=1,34,65,39,77,,
A18WPTVQPM9LBH,,gen=1,age=5,eth=3,Illinois,,obama,ros,f,fall,Laura met President Obama,response=1,86,83,66,92,,
A18WPTVQPM9LBH,,gen=1,age=5,eth=3,Illinois,,spaceship,bon,f,rise3,Maria was in a space ship to the moon.,response=2,33,28,41,85,,
A18WPTVQPM9LBH,,gen=1,age=5,eth=3,Illinois,,married,aar,m,rise2,Ellen is married,response=2,21,26,27,86,,
A1PBRKFHSF1OF8,,gen=1,age=2,eth=3,Northeast,,obama,ros,f,rise2,Laura met president Obama,response=1,32,26,37,92,,
A1PBRKFHSF1OF8,,gen=1,age=2,eth=3,Northeast,,married,aar,m,qrise,Is Ellen married?,response=1,21,31,20,83,,
A1PBRKFHSF1OF8,,gen=1,age=2,eth=3,Northeast,,spaceship,bon,f,fall,Maria was in a spaceship to the moon.,response=2,81,77,77,36,,
A1PBRKFHSF1OF8,,gen=1,age=2,eth=3,Northeast,,yemen,ros,f,rise3,Lenny is from Lennon,response=2,68,85,76,39,,
A1PBRKFHSF1OF8,,gen=1,age=2,eth=3,Northeast,,mom,kev,m,rise1,Eleanor is Andy's mom.,response=1,39,32,34,70,,
A2TVJTQ4VXATE6,,gen=2,age=1,eth=3,Arizona,,mom,kev,m,qrise,is ellen or annies mom,response=2,53,64,28,91,,
A2TVJTQ4VXATE6,,gen=2,age=1,eth=3,Arizona,,obama,ros,f,fall,Lora met president obama,response=1,100,100,71,61,,
A2TVJTQ4VXATE6,,gen=2,age=1,eth=3,Arizona,,yemen,ros,f,rise1,Lennys from Yemen,response=2,37,32,53,61,,
A2TVJTQ4VXATE6,,gen=2,age=1,eth=3,Arizona,,spaceship,bon,f,rise3,Maria was in a spaceship to the moon,response=2,37,31,63,69,,
A2TVJTQ4VXATE6,,gen=2,age=1,eth=3,Arizona,,married,aar,m,rise2,Ellen is married,response=1,68,66,72,77,,
A1U8HCXVACOGJ8,Very interesting thank you!,gen=1,age=4,eth=3,New England,Very interesting thank you!,yemen,ros,f,rise2,Lenny's from Yemen,response=2,37,86,32,77,no,no
A1U8HCXVACOGJ8,Very interesting thank you!,gen=1,age=4,eth=3,New England,Very interesting thank you!,married,aar,m,rise3,Ellen is married,response=2,26,73,29,87,no ,no
A1U8HCXVACOGJ8,Very interesting thank you!,gen=1,age=4,eth=3,New England,Very interesting thank you!,mom,kev,m,fall,Eleanor is Annie's mom,response=1,91,34,84,86,no,no
A1U8HCXVACOGJ8,Very interesting thank you!,gen=1,age=4,eth=3,New England,Very interesting thank you!,obama,ros,f,rise1,Laura met President Obama,response=1,68,41,69,75,no,no
A1U8HCXVACOGJ8,Very interesting thank you!,gen=1,age=4,eth=3,New England,Very interesting thank you!,spaceship,bon,f,qrise,Was Marie in a spaceship to the moon?,response=2,28,65,26,87,no,no
AKTVRPNDADCDW,,gen=1,age=1,eth=3,Midwest,,obama,ros,f,rise1,Laura met President Obama,response=1,84,100,86,80,,
AKTVRPNDADCDW,,gen=1,age=1,eth=3,Midwest,,yemen,ros,f,rise2,Lenny's from Yemen,response=1,75,76,63,86,,
AKTVRPNDADCDW,,gen=1,age=1,eth=3,Midwest,,spaceship,bon,f,qrise,Was Maria in a spaceship to the moon?,response=2,27,22,33,81,,
