workerid,stimulus,sentence,pronoun,speaker,speaker_gender,intonation,verification,speechact_choice,sp_certainty,addr_certainty,sp_authority,sp_politeness,subject_gender,subject_age,subject_ethnicity
AOMTL7RWZTP3Z,spaceship_maria_kev_m_rise1,spaceship,maria,kev,Male,rise1,Barea was in a spaceship to the moon,Assertion,56,59,43,60,Male,2,3
AOMTL7RWZTP3Z,rain_it_ed_m_rise1,rain,it,ed,Male,rise1,Its raining,Assertion,37,38,23,56,Male,2,3
AOMTL7RWZTP3Z,yemen_lenny_bon_f_rise3,yemen,lenny,bon,Female,rise3,Monies from Yemen,Assertion,37,39,26,55,Male,2,3
AOMTL7RWZTP3Z,married_ellen_ros_f_fall,married,ellen,ros,Female,fall,Alan is married,Assertion,69,70,74,54,Male,2,3
AOMTL7RWZTP3Z,mom_eleanor_bon_f_rise2,mom,eleanor,bon,Female,rise2,Eleanor is Annie's mom,Assertion,57,60,67,59,Male,2,3
AOMTL7RWZTP3Z,lawn_you_kev_m_fall,lawn,you,kev,Male,fall,You need to move along,Assertion,67,70,82,36,Male,2,3
AOMTL7RWZTP3Z,yemen_you_ros_f_rise2,yemen,you,ros,Female,rise2,Your from Yemen,Question,41,40,41,58,Male,2,3
AOMTL7RWZTP3Z,obama_laura_ed_m_rise3,obama,laura,ed,Male,rise3,Laura met President Obama,Request,44,39,37,54,Male,2,3
A1BHHRSKO2MBT3,obama_laura_ed_m_fall,obama,laura,ed,Male,fall,laura met president obama,Assertion,66,67,32,64,Male,1,3
A1BHHRSKO2MBT3,married_ellen_ros_f_rise1,married,ellen,ros,Female,rise1,Ellen is married,Assertion,23,33,34,46,Male,1,3
A1BHHRSKO2MBT3,yemen_lenny_bon_f_fall,yemen,lenny,bon,Female,fall,Lennys from yemen,Assertion,44,58,39,41,Male,1,3
A1BHHRSKO2MBT3,spaceship_maria_kev_m_rise2,spaceship,maria,kev,Male,rise2,Bria was in a spaceship to the moon,Assertion,40,60,71,39,Male,1,3
A1BHHRSKO2MBT3,mom_eleanor_bon_f_rise3,mom,eleanor,bon,Female,rise3,Elenaor is Annies mom,Question,16,62,35,34,Male,1,3
A1BHHRSKO2MBT3,rain_it_ed_m_rise2,rain,it,ed,Male,rise2,Its raining,Assertion,66,36,70,40,Male,1,3
A1BHHRSKO2MBT3,lawn_you_kev_m_rise1,lawn,you,kev,Male,rise1,you need to mow the lawn,Request,27,62,33,34,Male,1,3
